name,eval_every,num_episodes,eval_games,total_games,agent,train_batch_size,execution_time_sec,config_name,hidden_dim,num_simulations,avg_steps,avg_move_time_sec,state_dim,buffer_size,avg_score,train_epochs,env,action_dim,games_per_batch,lr,num_workers
exit_100sims_v2,1000,26000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.46,0.00013658518402429666,69,100000,0.35,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,27000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.7,0.00013658518402429666,69,100000,0.29,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,28000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.04,0.00013658518402429666,69,100000,0.51,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,29000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.02,0.00013658518402429666,69,100000,0.31,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,30000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.2,0.00013658518402429666,69,100000,0.47,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,31000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.14,0.00013658518402429666,69,100000,0.45,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,32000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.04,0.00013658518402429666,69,100000,0.47,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,33000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.24,0.00013658518402429666,69,100000,0.52,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,34000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.26,0.00013658518402429666,69,100000,0.55,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,35000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.98,0.00013658518402429666,69,100000,0.41,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,36000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.2,0.00013658518402429666,69,100000,0.36,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,37000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.7,0.00013658518402429666,69,100000,0.38,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,38000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.56,0.00013658518402429666,69,100000,0.52,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,39000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.68,0.00013658518402429666,69,100000,0.6,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,40000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.9,0.00013658518402429666,69,100000,0.38,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,41000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.66,0.00013658518402429666,69,100000,0.46,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,42000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.6,0.00013658518402429666,69,100000,0.52,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,43000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.94,0.00013658518402429666,69,100000,0.69,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,44000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.82,0.00013658518402429666,69,100000,0.5,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,45000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.04,0.00013658518402429666,69,100000,0.31,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,46000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.46,0.00013658518402429666,69,100000,0.34,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,47000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.12,0.00013658518402429666,69,100000,0.63,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,48000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.36,0.00013658518402429666,69,100000,0.47,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,49000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.52,0.00013658518402429666,69,100000,0.52,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,50000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.7,0.00013658518402429666,69,100000,0.43,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,51000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.8,0.00013658518402429666,69,100000,0.6,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,52000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.84,0.00013658518402429666,69,100000,0.51,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,53000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.08,0.00013658518402429666,69,100000,0.47,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,54000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.06,0.00013658518402429666,69,100000,0.43,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,55000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.24,0.00013658518402429666,69,100000,0.4,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,56000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.44,0.00013658518402429666,69,100000,0.6,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,57000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.5,0.00013658518402429666,69,100000,0.33,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,58000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.98,0.00013658518402429666,69,100000,0.33,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,59000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,18.78,0.00013658518402429666,69,100000,0.66,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,60000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.98,0.00013658518402429666,69,100000,0.46,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,61000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.96,0.00013658518402429666,69,100000,0.53,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,62000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.18,0.00013658518402429666,69,100000,0.47,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,63000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.66,0.00013658518402429666,69,100000,0.54,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,64000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.14,0.00013658518402429666,69,100000,0.58,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,65000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.26,0.00013658518402429666,69,100000,0.61,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,66000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.68,0.00013658518402429666,69,100000,0.57,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,67000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.28,0.00013658518402429666,69,100000,0.58,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,68000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.66,0.00013658518402429666,69,100000,0.54,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,69000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.22,0.00013658518402429666,69,100000,0.63,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,70000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.86,0.00013658518402429666,69,100000,0.62,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,71000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.0,0.00013658518402429666,69,100000,0.76,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,72000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,19.66,0.00013658518402429666,69,100000,0.58,10,Quarto,32,500,0.001,6
